1.0	it	2015-10-16 11:40:32Z
Region Fill Style.info:CAMStyle	Method to use to fill regions.  Waterline rough only.	Metodo da usare per riempire regioni. Solo per sgrossatura Waterline.
Region Fill Style.info:MOP3DSurface	Method to use to fill regions.  Waterline rough only.	Metodo da usare per riempire regioni. Solo per sgrossatura Waterline.
Region_Fill	Region fill	Riempire Regioni
REGION_FILL_DURATION	Region Fill duration : {0}	Durata riempimento Regione: {0}
Regular		Regolare
Regular.info	Regular font style.	Carattere stile normale.
Reload		Ricarica
Reload post processors		Ricarica Post Processor
Remove Arcs		Rimuovi Archi
Remove Overlaps		Rimuovi Sovrapposizioni
Remove Tab		Rimuovi Fermi
Remove_Dupes	Remove dupes	Rimuovi doppioni
Remove_Holding_Tab	Remove holding tab	Rimuovi Fermi
Remove_Overlaps	Remove overlaps	Rimuovi Sovrapposizioni
REMOVE_PRIMS_IN_LAYER	Remove all the primitives in layer '{0}'?	Rimuovere tutte le primitive nel Livello '{0}'?
Rename		Rinomina
Rename all tools		Rinominare tutti gli Utensili
RENAME_FILE	Rename file to '{0}'?	Rinominare file come '{0}'?
Rename_Layer	Rename layer	Rinomina Livello
RENAME_LIB	Rename library to '{0}'?	Rinominare Libreria come '{0}'?
Rename_MOP	Rename MOP	Rinomina MOP
Rename_Part	Rename part	Rinomina parte
Repeat		Ripetere
Repeat Commands		Ripetere comandi
Repeat Commands.info	If True then drawing commands will be repeated.	Se Vero i comandi di disegno verrano ripetuti.
Repeat.info	Code used for repeat.	Codice utilizzato per la ripetizione del programma.
Replace		Sostituisci
Replace All		Sostituisci tutto
Replace with:		Sostituisci con:
REPLACE_MOP_SOURCES	Replace machining operation source with selected objects?	Sostituire l'operazione di origine con gli oggetti selezionati?
Reset		Ripristina
Reset to defaults		Ripristina impostazioni predefinite
Reset_To_Defaults	Reset to defaults	Ripristina impostazioni predefinite
Resize		Ridimensiona
Resize Objects		Ridimensiona gli oggetti
Resolution		Risoluzione
Resolution.info	Distance along each scanline to test height (% of tooldiameter).\r\nUsed for Horizontal and Vertical only.	Distanza lungo ogni linea di scansione per testare altezza (in rapporto (0-1.0 di [Diametro Utensile]). Utilizzato da [Profilo 3D] per [Orizzontale] e [Verticale].
Restore PropertyGrid		Ripristina Proprietà Griglia
Retract Height		Altezza di ritrazione
Retract Height.info	For peck canned cyles, retract to this value after each peck.	Per cicli di foratura, ritrarre di questo valore dopo ciascun incremento della [Profondità per ritrarsi].
Retry		Riprova
Reverse		Inverti
Reversing Polyline in join		Inverti Polilinea in unione
Right		Destra
Right Down		Destra Giù
Right Hand		Mano Destra
Right Up		Destra Su
Rigidity		Rigidità
Rigidity.info	Informational.	Informativo.
Root Folder		Cartella Principale
Root Folder.info		Cartella Principale.info
Rotate		Ruota
ROTATE_MODE	Rotate Mode	Modalità di rotazione
Rotation		Rotazione
Rotation Mode		Modalità di rotazione
Rotation Mode.info	The key and mouse combination used to rotate the drawing view.	La combinazione di tasti e mouse utilizzati per ruotare la vista del disegno.
Rotation.info		Rotazione.info
rough.CutFeedrate		Velocità Sgrossatura
Roughing		Sgrossatura
Roughing / Finishing		Sgrossatura / Finitura
Roughing / Finishing.info	Selects whether a roughing or finishing operation.  This information may be used in automatic speed and feed calculations.	Seleziona il tipo dioperazione (Sgrossatura o Finitura). Queste informazioni possono essere utilizzate nel calcolo automatico di  velocità e avanzamento.
Roughing Clearance		Margine sgrossatura
Roughing Clearance.info	This is the amount of stock to leave after the final cut.\nUsually removed later in a finishing pass.\nNegative values can be used to oversize holes.	La quantità di materiale da lasciare dopo la passata finale di Sgrossatura.\nQuesto materiale viene rimosso di solito successivamente da una passata di finitura.\nValori negativi possono essere utilizzati per aumentare il valore dell'ultima passata, creando un sovrataglio.
Round Bar		Barra Rotonda
Rows		Righe
Rows.info	Number of rows when using a grid nest method.	Numero di righe quando si utilizza un metodo Nidificazione griglia.
RPM		RPM
RPM x Diameter x Pi / 1000		RPM x Diametro x Pi / 1000
RPM x Tooth Load x Flutes		RPM x Carico Dente x Taglienti
Save		Salva
Save All		Salva tutto
Save As		Salva con nome
Save Current File		Salva file corrente
Save settings		Salva impostazioni
Save settings on exit		Salva impostazioni all'uscita
Save to Xml		Salva su  Xml
SAVE_CHANGES_TO	Save changes to '{0}'?	Salva le modifiche a '{0}'?
Save_Current_File	Save Current File	Salva file corrente
SaveFile	Save File	Salva file
Scale		Scala
Scanline Gradient Threshold		Soglia di gradiente per Scanline
Script		Script
Script-o-matic		Script-o-matic
Search		Ricerca
Select {0} point		Seleziona {0} punto
Select a second point along the mirror line		Seleziona un secondo punto sulla linea di rispecchiamento
Select All		Seleziona tutto
Select all on layer		Seleziona tutto sul Livello
Select All On Layer		Seleziona tutto sul Livello
Select Color		Colore selezione
Select Color.info	The color used to select paint selected shapes.	Il colore utilizzato per gli oggetti selezionati.
Select drawing objects		Seleziona gli oggetti di disegno
Select Fade		Seleziona dissolvenza
Select Fade.info	Controls how much unselected shapes are faded (as a percent).	Controlla quanto sono sbiadite le forme non selezionate (in percentuale).
Select point list.		Seleziona Elenco punti.
Select reference angle		Seleziona angolo di riferimento
Select rotation center point		Seleziona centro punto di rotazione
Select the center point of the polar array		Selezionate il punto centrale della serie polare
Select the Current Drawing Units		Selezionare le unità di disegno corrente
Select the new polyline starting point		Selezionare il nuovo punto di partenza polilinea
Select the spiral center point or esc		Selezionare il punto centrale o <ESC>
Select the spiral end point		Selezionare il punto finale della spirale 
Select_Current_Units	Select the Current Drawing Units	Selezionare le unità di disegno corrente
SELECT_FILENAME	Select filename	Seleziona nome file
SELECT_MACHINING_ORIGIN	Select machining origin	Selezionare origine lavorazione
Select_MOP_Entities	Select MOP entities	Selezionare le entità MOP
SELECT_POINT	Select {0} point	Selezionare {0} punto
SELECT_POINT_LIST	Select point list.	Selezionare elenco punti.
SELECT_POLY_P1	Select the new polyline starting point	Selezionare il nuovo punto di partenza polilinea
SELECT_START_POINT	Select start point	Selezionare il punto di partenza
Selected Objects Extrema		Estremi degli oggetti selezionati
Selected Only		Solo selezionati
Selected Shapes		Forme selezionati
Selection Only		Solo Selezionati
SelectLibrary	Select library	Seleziona Libreria
Set active part		Imposta parte attiva
Set as active		Imposta come attivo
Set as active layer		Imposta come Livello attivo
Set as default		Imposta come predefinito
Set machining origin		Imposta origine lavorazione
Set New Start Point		Imposta nuovo punto di partenza
Set start point		Imposta il punto di partenza
Set Start Point		Imposta il punto di partenza
Set Stock Size for Lathe		Imposta la dimensione del Grezzo per [Tornitura]
Set_Active_Part	Set active part	Imposta parte attiva
Set_machining_origin	Set machining origin	Imposta origine lavorazione
Set_polyline_start	Set polyline start	Imposta inizio polilinea
Set_start_point	Set start point	Imposta il punto di partenza
Shank Diameter		Diametro codolo
Shank Diameter.info	Diameter of the tool shank.	Diametro del codolo Utensile.
Shape Outline		Contorno forma
Show		Visualizza
Show all		Visualizza tutto
Show axis		Mostra assi
Show cut widths		Mostra larghezza taglio
Show Cut Widths		Mostra larghezza taglio
Show Cut Widths.info	Shows the area that will be cut for each toolpath.	Mostra l'area che sarà rimossa da ciascun PU.
Show direction arrow		Mostra direzione taglio 
Show Direction Vector		Mostra direzione Taglio
Show Direction Vector.info	Displays an arrow indicating the cutting direction and toolpath start point.	Visualizza una freccia indicante la direzione di taglio e il punto di partenza del PU.
Show grid		Mostra griglia
Show Grid		Mostra griglia
Show Grid.info	Sets whether the drawing grid is displayed.\r\nAlternatively use the show grid button on the toolbar.	Imposta la visualizzazione della griglia di disegno. In alternativa, utilizzare il pulsante "Mostra Griglia" sulla barra degli strumenti.
Show License Form		Mostra Modulo di licenza
Show nests		Mostra nidificazioni
Show Nests		Mostra nidificazioni
Show Nests.info	Displays nest copies when the part object is selected.	Visualizza le copie della Parte Nidificata quando la Parte è selezionata.
Show or hide the axis		Visualizza o nasconde gli assi
Show or hide the grid		Visualizza o nasconde la griglia
Show properties by category		Visualizzare le proprietà per categoria
Show properties in alphbetical list		Visualizza le proprietà in ordine alfabetico
Show rapids		Mostra rapidi
Show Rapids		Mostra Rapidi
Show Rapids.info	Displays a line representing G0 rapid moves.	Visualizza una linea che rappresenta il rapido G0.
Show Selection Corners		Mostra margini della selezione
Show Selection Corners.info	If True, display corner markers of selected shape bounds.	Se Vero, mostra dei marcatori agli angoli delle forme selezionate. 
Show stock		Mostra Grezzo
Show Stock		Mostra Grezzo
Show Stock.info	Displays a block representing the stock object.	Consente di visualizzare un parallelepipedo che rappresenta il Grezzo.
Show Toolpath Normal		Visualizza il normale PU
Show Toolpath Normal.info	Displays a line perpendicular to the toolpath, typically toward the line being cut.	Visualizza una linea perpendicolare al PU, di solito verso la linea di taglio.
Show toolpaths		Mostra PU
Show Toolpaths		Mostra PU
Show Toolpaths.info	Display toolpaths.	Mostra i percordi utensile (PU).
Show_All_Layers	Show all layers	Mostra tutti i livelli
Show_hide_axis	Show or hide the axis	Mostra o nasconde gli assi
Show_hide_grid	Show or hide the grid	Mostra o nasconde la griglia
Show_Layer	Show layer	Mostra il Livello
Side Profile		Profilo laterale
Side Profile.info	Side profiles are used to define 3D shapes from 2D drawings.	Profili laterali sono utilizzati per creare forme 3D partendo da disegni 2D.
Silhouette		Silhouette
Silhouettes		Silhouettes
Simulate with CutViewer		Simulare con CutViewer
Single Slice Test		Fetta Singola
Size		Dimensione
Size Threshold		Soglia Dimensione
Size Threshold.info	Shapes with perimeters less than this value will not have any automatically calculated tabs.	Per Forme con perimetri inferiori a questo valore non sarà calcolato automaticamente nessun Fermo.
Slice Widths		Larghezza fetta
Slope		Pendenza
Snap to grid		Aggancia alla griglia
Snap to Grid		Aggancia alla griglia
Snap To Grid		Aggancia alla griglia
Snap to Grid.info	If True, drawing points will snap to the minor grid units.	Se Vero, i punti del disegno si agganceranno ai punti più vicini della griglia.
Snap To Object		Aggancia agli Oggetti
Snap to objects		Aggancia agli oggetti
Snap to Points		Aggancia ai punti
Snap to Points.info	If True, drawing points will snap to shape control points, circle centers and other significant points.	Se Vero, i punti del disegno si agganceranno ai punti di controllo degli oggetti, centri di cerchio e altri punti significativi.
Source		Origine
Source File		File di origine
Source File.info	Filename of the source gcode	Nome del file GCode sorgente
Source Image		Immagine sorgente
Spacing		Spaziatura
Spacing.info	Distance between the toolpath centers of adjacent copies.	Distanza tra i centri delle copie dei PU adiacenti.
Speed and feeds calculator		Calcolatore della velocità e dell'avanzamento
SPEEDS_AND_FEEDS	Speeds and Feeds Calculator	Calcolatore della velocità e dell'avanzamento
Spindle		Mandrino
Spindle CCW		Mandrino CCW
Spindle CCW.info	Code used for spindle CCW.	Codice utilizzato per attivare il mandrino in senso antiorario (CCW).
Spindle Control		Controllo mandrino
Spindle CW		Mandrino CW
Spindle CW.info	Code used for spindle CW.	Codice utilizzato per attivare il mandrino in senso orario (CW).
Spindle Direction		Direzione del mandrino
Spindle Direction.info	The direction of rotation of the spindle.	Il senso di rotazione del mandrino.
Spindle Off		Mandrino Off
Spindle Off.info	Code used for spindle off.	Codice utilizzato per spegnere il mandrino.
Spindle Power		Potenza del mandrino
Spindle Power.info		Potenza del mandrino.info
Spindle Range		Gamma velocità mandrino
Spindle Range.info	This may be the pulley number or dial setting of the spindle for the desired speed.	Questo può essere il numero della puleggia o l'impostazione del selettore per la velocità desiderata del mandrino.
Spindle Range.info:MOP3DSurface	The pulley number or dial setting of the spindle for the target speed.	Il numero della puleggia o l'impostazione del selettore del mandrino per la velocità obiettivo.
Spindle Range.info:MOPDrill	The pulley number or dial setting of the spindle for the target speed.	Il numero della puleggia o l'impostazione del selettore del mandrino per la velocità obiettivo.
Spindle Range.info:MOPPocket	The pulley number or dial setting of the spindle for the target speed.	Il numero della puleggia o l'impostazione del selettore del mandrino per la velocità obiettivo.
Spindle Range.info:MOPProfile	The pulley number or dial setting of the spindle for the target speed.	Il numero della puleggia o l'impostazione del selettore del mandrino per la velocità obiettivo.
Spindle Speed		Velocità del mandrino
Spindle Speed.info	The speed in RPM of the spindle	La velocità in RPM del mandrino
Spindle Speed.info:CAMStyle	The speed in RPM of the spinfle	La velocità in RPM del mandrino
Spindle Speeds		Velocità del mandrino
Spindle Speeds.info		Velocità del Mandrino.info
Spiral		Spirale
Spiral Angle	Angle	Angolo
Spiral Angle.info	Used by spiral and tangents to control ramp angle.	Utilizzato da spirali e tangenti per controllare l'angolo di rampa.
Spiral Draw		Disegna Spirale
Spiral Flat Base		Base spirale piatta
Spiral Flat Base.info	For spiral drilling only.  If True, a full circle is added to the spiral base, to ensure a flat hole bottom.	Solo Per la foratura a spirale. \nSe Vero, un cerchio completo viene aggiunto alla base della spirale, per garantire un fondo piatto al foro.
Spiral Mill (CCW)		Fresatura a Spirale (CCW)
Spiral Mill (CW)		Fresatura a Spirale (CW)
Spiral Path		Percorso della spirale
Spiral Path Draw		Disegna percorso della Spirale
SPIRAL_DRAW1	Select the spiral center point or esc	
SPIRAL_DRAW2	Select the spiral end point	
SPIRAL_PATH1	First select a path for the spiral to follow.	
Spline		Spline
Spline Curve Steps		Passi Curve Spline 
Spline Curve Steps.info	When splines are displayed, their shape is approximated by line segments.  This setting controls the number of segments used to display	Quando le Spline vengono visualizzate, la loro forma è approssimata da segmenti di linea. Questa impostazione controlla il numero di segmenti utilizzati per visualizzarle
Spline to Polyline Tolerance		Tolleranza da Spline a Polilinea
Spline to Polyline Tolerance.info	Splines are converted to polylines internally before they can be used for some operations, such as toolpath generation.\r\nSmaller tolerances makes more accurate but larger polylines	Le Spline vengono convertite in polilinee internamente prima di poter essere utilizzate per alcune operazioni, come la generazione di PU.\n Valori piccoli consentono polilinee più accurate ma di dimensioni maggiori
Square		Quadrato
Square Bar		Barra quadra
Square Box		Scatola quadrata
Start		Angolo iniziale
Start Corner		Angolo d'inizio
Start Corner.info	Corner to start profiling.\r\nUsed for Horizontal and Vertical only.	Angolo per iniziare la profilazione.\r\n Utilizzato solo da [Profilo 3D] per [Orizzontale] e [Verticale].
Start Cut		Inizio Taglio
Start Cut.info	Macro to use when about to feed cut.\nMay be used for plasma or laser to power on the cutting tool.	Macro da utilizzare quando si sta per iniziare il taglio.\r\nPuò essere utilizzata nel taglio al plasma o laser per accendere l'utensile da taglio.
Start Point		Punto d'inizio
Start Point.info	A point used as a hint to the optimiser to determine where the next toolpath starts.	Un punto usato come un suggerimento per l'ottimizzatore per determinare da dove il prossimo PU deve partire.
Start.info	The starting angle of the arc (in degrees).	L'angolo iniziale dell'arco (in gradi).
STARTING_LEVEL	Starting level {0} at {1}	Livello di partenza {0} di {1}
Step Around Geometry		Spazia intorno a geometria
Step Distance		Distanza Passo 
Step Over		Step Over
StepOver		StepOver
Stepover Feedrate		Avanz. per StepOver
Stepover Feedrate.info	The feedrate to use when cutting from one toolpath to another.	L'avanzamento da utilizzare durante il taglio da un PU ad un altro.
StepOver must be positive and non-zero		StepOver deve essere positivo e diverso da zero
StepOver.info	The cut is increased by this amount each step, expressed as a decimal (0-1.0) of the cutter width.	Incremento di valore ad ogni passata.\r\nIn rapporto (0-1.0) a [Diametro Utensile].
StepOver.info:CAMStyle	The cut is increased by this amount each step, expressed as a % of the cutter width.	Incremento di valore ad ogni passata\r\nIn rapporto (0-1.0) a [Diametro Utensile].
Steps Per Unit		Passi per unità
Steps Per Unit.info		Passi Per Unità.info
STL_UNKNOWN_STL_TYPE	Unknown STL Type	STL di tipo sconosciuto
Stock		Grezzo
Stock Offset		Offset Grezzo
Stock Offset.info	X,Y position of the lower left corner of the stock.	Posizione  X, Y l'angolo in basso a sinistra del Grezzo.
Stock Size		Dimensione Grezzo
Stock Size.info	X, Y and Z dimensions of the stock block.	X, Y e Z le dimensioni del Grezzo
Stock Surface		Superfice Grezzo
Stock Surface.info	Z coordinate of the top surface of the stock.	Coordinata Z della superficie superiore del Grezzo
Stock Surface.info:CAMStyle	The offset from the workplane of the stock surface.	L'offset dal piano di lavoro della superficie del Grezzo.
Stock Surface.info:MOP3DSurface	The Z location of the stock surface, where a toolpath will typically start cutting.	La posizione Z della superficie del Grezzo, dove un PU in genere inizia a tagliare.
Stock Surface.info:MOPDrill	The Z location of the stock surface, where a toolpath will typically start cutting.	La posizione Z della superficie del Grezzo, dove un PU in genere inizia a tagliare.
Stock Surface.info:MOPEngrave	The Z location of the stock surface, where a toolpath will typically start cutting.	La posizione Z della superficie del Grezzo, dove un PU in genere inizia a tagliare.
Stock Surface.info:MOPLathe	The Z location of the stock surface, where a toolpath will typically start cutting.	La posizione Z della superficie del Grezzo, dove un PU in genere inizia a tagliare.
Stock Surface.info:MOPPocket	The Z location of the stock surface, where a toolpath will typically start cutting.	La posizione Z della superficie del Grezzo, dove un PU in genere inizia a tagliare.
Stock Surface.info:MOPProfile	The Z location of the stock surface, where a toolpath will typically start cutting.	La posizione Z della superficie del Grezzo, dove un PU in genere inizia a tagliare.
Stock.info	Defines the stock dimensions and location.\r\nMay be used to determine some values such as stock surface and target depth.	Definisce le dimensioni dei pezzi e la posizione. Può essere usato per determinare alcuni valori come la superficie  e [Altezza Obiettivo].
Stop		Stop
Stop.info	Code used for stop.	Codice utilizzato per l'arresto.
Style		Stile
Style Library		Libreria di Stili
Style Library.info	Used to locate the styles referred to in the part or machining operations.	Utilizzato per individuare gli stili riferiti  alla parte o alla  MOP.
Style Library.info:CAMPart	Used to locate the styles referred to in the Part or machining operations.	Utilizzato per individuare gli stili riferiti alla parte o alla MOP.
Style.info	All machining operations in the drawing will use this style unless set otherwise in the part or machining operation's Style property.	Tutte le MOP nel disegno utilizzeranno questo stile se non impostato diversamente nella parte o nel tipo di lavorazione.
Style.info:CAMPart	All machining operations in the part will use this style unless set otherwise in the machining operation's Style property.	Tutte le MOP nella parte utilizzeranno questo stile se non impostato diversamente nello stile di lavorazione o nel tipo di lavorazione.
Style.info:MOP3DSurface	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style.info:MOPDrill	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style.info:MOPEngrave	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style.info:MOPLathe	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style.info:MOPNCFile	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style.info:MOPPocket	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style.info:MOPProfile	If a style is specified, all default properties will be inherited from that style.\r\nIf no style is specified the system will look for a style in the Part and then Machining objects	Se viene specificato uno stile, tutte le proprietà predefinite saranno ereditate dallo stile.\nSe non è specificato nessun stile, il sistema cercherà uno stile nella Parte e poi nello stile di lavorazione.
Style:		Stile:
STYLE_LIB_NOT_FOUND	Style library '{0}' not found	Libreria stile '{0}' non trovato
STYLE_NOT_FOUND	Style '{0}' not found	Stile '{0}' non trovato
Subtract		Sottrai
Suppress Parser Errors		Sopprimere gli errori di analisi
Suppress Parser Errors.info	Setting True will prevent gcode parsing errors being displayed when generating non-standard gcode.	Se Vero, evita che gli errori di analisi del GCode vengano visualizzati durante la generazione di GCode non standard.
Surface		Superficie
Surface Analysis		Analisi della superficie
Surface Speed		Velocità di taglio
Surface Speed x 1000 / ( Diameter x Pi )		Velocità di taglio  x 1000 / (diametro x Pi)
Surface Speed.info	Surface cutting speed.\r\nNot currently used for toolpath generation!	Velocità di taglio.\nNon è attualmente utilizzata per la generazione di PU!
Sweep		Angolo Apertura
Sweep.info	The sweep angle of the arc (in degrees).	L'angolo di apertura dell'arco (in gradi).
System		Sistema
System Path		Cartella di Sistema
System Path.info		La Cartella di Sistema dove sono memorizzate le informazioni di CamBam
T Section		Sezione T 
Tab Distance		Distanza Fermi
Tab Distance.info	The approximate distance between each automatically generated holding tab.	La distanza approssimativa tra i Fermi generati automaticamente.
Tab Method		Metodo Fermi
Tab Method.info	None | Auto | Manual	Nessuno | Auto | Manuale
Tab Style		Stile Fermi
Tab Style.info	Square | Triangle	Quadrato Triangolo
Tabs		Fermi
Tabs.info	A list of each holding tab position.	Lista delle posizioni dei Fermi
Tag		Etichetta
Tag.info	A general purpose text or notes field.	Un testo di uso generale.
Tag.info:CADFile	General purpose text, may be used for notes.	Testo di uso generale, può essere utilizzato note varie.
Tag.info:CAMPart	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MachiningOptions	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOP3DSurface	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOPDrill	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOPEngrave	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOPLathe	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOPNCFile	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOPPocket	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tag.info:MOPProfile	A general purpose, multi-line text property to store notes or machining parameters.	Un testo multi-linea per memorizzare appunti o parametri di lavorazione.
Tangent		Tangente
Tangent Radius		Raggio tangente
Tangent Radius.info	The radius of the tangent lead in.	Il raggio della tangente Lead In 
TANGENT_DRAW1	Enter the first tangent point	
TANGENT_DRAW2	Enter the second tangent point	
Target Depth		Altezza Obiettivo
Target Depth.info	Final depth of the machining operation.	Profondità finale della lavorazione.
TARGETDEPTH_ABOVE_STOCK	WARNING! Target depth should be less than stock surface	ATTENZIONE! [Altezza Obiettivo] dovrebbe essere inferiore al valore della superficie Grezzo
Teeth		Denti
Testo		
Text		Testo
Text Alignment Horizontal		Allin. orizz. testo
Text Alignment Horizontal.info	Controls the horizontal alignment of the text relative to the text location point.	Determina l'allineamento orizzontale del testo relativo a [Posizione].
Text Alignment Vertical		Allin. vert. testo
Text Alignment Vertical.info	Controls the vertical alignment of the text relative to the text location point.	Determina l'allineamento verticale del testo relativo a [Posizione].
Text Curve Tolerance		 Curva di testo - tolleranza
Text Curve Tolerance.info	The degree of error allowed when converting text to polylines, measured in font units (0-2048)	Il grado di errore ammesso durante la conversione del testo in polilinee, misurati in unità di font (0-2048)
Text Font		
Text Font.info		Il  carattere usato nel testo
Text Geometry		Geometria Testo
Text.info	The multi-line text to be displayed.	Il testo multi-linea  da visualizzare.
TEXT_INSERT	Select insertion point	Selezionare il punto di inserimento
Texte		Texte
Texturize		
The angle to offset each array item from one another.		L'angolo di sfalsamento di ogni elemento della serie rispetto all'altro.
The diameter of the pitch circle in the current drawing units		Il diametro del cerchio  nell'unità di disegno corrente
The distance along each line to test for Z heights.		La distanza lungo ciascuna linea di test per altezza di Z.
The distance measured in drawing units.\r\nPress OK to copy to clipboard.		La distanza misurata in unità di disegno. Premere OK per copiare negli appunti.
The distance to offset each array item from one another, with optional scale.		Lo spostamento di ogni copia uno dall'altro, con un fattore di scala opzionale.
The file '{0}' already exists!\r\nOverwrite existing file?		Il file '{0}' esiste già! Sovrascrivere il file esistente?
The number of copies in the array.		Il numero di copie della matrice.
The value of the following inherited property has changed.:		Il valore della seguente proprietà ereditata è cambiato.:.
The width of each plane slice.		La larghezza di ogni fetta aereo.
Thinking Message		Messaggio pensiero
Thinking Message.info	Message to display when CamBam is busy calculating.\r\nDisplayed in full, unexpurgated technicolor! :-)	Messaggio da visualizzare quando CamBam è occupato nel calcolo. Visualizzato in puro, technicolor! :-)
This is the distance between each point.		Questa è la distanza tra ciascun punto.
This plugin will generate a 5mm pitch timing pulley profile.		Questo plugin genera una ruota dentata con un passo di 5 millimetri.
Thousandths		Millesimi in
Timing Pulley		Puleggia di  distribuzione
To DXF		Per DXF
Toggle display of advanced properties		Alterna la visualizzazione delle proprietà avanzate
Toggle the property description display		Alternare la visualizzazione della descrizione della proprietà
Toggle_Layer_Visibility	Toggle layer visibility	Alterna visibilità Livello
Toggle_MOP_State	Toggle MOP state	Alterna stato MOP
Toggle_Part_State	Toggle part state	Alterna stato Parte
Tolerance used for cleaning.		Tolleranza utilizzata per la pulizia.
Tool		Utensile
Tool Change		Cambio Utensile
Tool Change.info	This text can be included using the {$tool.toolchange} macro from the post processor.	Questo testo può essere incluso con la macro {$toolchange} dal post processor.
Tool Change.info:PostProcessor	Rules for the {$toolchange} macro.\nTool changes are inserted at the start of a machining operation if the current tool number has changed.	Regole per la macro {$ toolchange}.\nCambio utensile, vengono inseriti all'inizio della MOP se il numero utensile corrente è stato modificato.
Tool Diameter		Diametro Utensile
Tool Diameter.info	Diameter of the current tool in drawing units.\r\nIf the tool diameter is 0, the diameter from the tool library for the given tool number will be used.	Diametro dell'utensile corrente in unità di disegno.\nSe il diametro dell'utensile è 0, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Diameter.info:CAMStyle	The diameter of the current tool.	Il diametro dell'utensile in corso.
Tool Diameter.info:MOP3DSurface	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Diameter.info:MOPDrill	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Diameter.info:MOPEngrave	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Diameter.info:MOPLathe	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Diameter.info:MOPNCFile	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
